-104.4885,141.6202, 172.0106 ; 0, 20.39142, 0
-69.10817,138.1522, 245.9343 ; 0, 31.51759, 0
-13.42971,132.9919, 305.1262 ; 0, 55.91385, 0
63.93872,133.2943, 330.1389 ; 0, 89.91711, 0
141.063,139.6834, 306.8797 ; 0, 123.2819, 0
201.021,144.2157, 251.0949 ; 0, 139.1526, 0
253.1253,146.0133, 187.8852 ; 0, 144.0083, 0
295.8544,144.8746, 117.5159 ; 0, 152.151, 0
335.2943,141.653, 45.56455 ; 0, 146.8966, 0
392.1116,139.4225, -13.66572 ; 0, 123.2629, 0
469.5674,136.3216, -37.27411 ; 0, 98.42748, 0
551.0433,125.1435, -49.40612 ; 0, 99.69595, 0
632.6146,113.6271, -64.80061 ; 0, 103.4425, 0
706.3273,109.4829, -98.96062 ; 0, 127.2772, 0
757.5294,109.0453, -162.2555 ; 0, 153.7463, 0
778.7701,109.0511, -241.85 ; 0, 174.6605, 0
777.1901,109.0481, -323.3259 ; 0, 191.6066, 0
746.4725,109.0218, -399.0259 ; 0, 214.6503, 0
684.2537,110.6321, -451.7056 ; 0, 244.4203, 0
604.6299,120.2783, -467.9545 ; 0, 266.0786, 0
522.204,131.0155, -472.4666 ; 0, 268.4655, 0
440.2187,137.0886, -473.1993 ; 0, 268.0611, 0
359.2645,138.9028, -483.5129 ; 0, 251.2775, 0
298.8351,138.8369, -535.555 ; 0, 209.2888, 0
280.4062,138.9615, -614.7344 ; 0, 183.9813, 0
276.0888,139.0586, -696.6483 ; 0, 183.6328, 0
266.1402,139.243, -778.1072 ; 0, 195.4435, 0
231.7063,140.7094, -851.2946 ; 0, 219.1382, 0
163.2846,145.5874, -893.9302 ; 0, 258.4084, 0
82.2925,151.9562, -888.0148 ; 0, 290.2947, 0
11.51275,156.1377, -848.0269 ; 0, 308.2028, 0
-43.9061,157.2407, -787.6205 ; 0, 321.387, 0
-85.90489,155.8979, -717.0786 ; 0, 332.6646, 0
-117.1676,152.9567, -640.8613 ; 0, 342.311, 0
-134.2871,149.2452, -560.2366 ; 0, 350.9402, 0
-143.6449,146.2019, -478.2406 ; 0, 354.4802, 0
-150.4558,144.505, -396.2569 ; 0, 355.9583, 0
-154.8755,143.8572, -313.8059 ; 0, 356.8648, 0
-156.8563,143.6943, -231.9372 ; 0, 358.8739, 0
-156.3603,143.6728, -149.8204 ; 0, 0.355, 0
-153.094,143.689, -68.01744 ; 0, 3.940609, 0
-143.8812,143.5939, 13.34345 ; 0, 8.14976, 0
-134.81,143.5939, 63.83 ; 0, 9.226427, 0
